Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
15200021,3,100,0.00404,0.00404,0.2424,"13,277.64","13,247.31",0,0,gram,0.17564797,Tris Base,
15200022,3,100,0.0105,0.0105,0.63,"12,165.21","12,049.48",0,0,gram,0.24525183,Tris HCl,
15200032,3,100,0.001,0.001,0.06,"23,560.85","23,560.43",0,0,gram,0.03725842,Brij-35 Concentrate,
15200033,3,100,0.00025,0.00025,0.015,725,725,0,0,milliliter,0.53082759,Nonidet NP-40,
94000008,3,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
9220004,2,100,0.15,0.15,4.5,"6,810.94","6,810.94","4,860",0,milliliter,0.39017522,Fastpack Paramagnetic Particles,
CD Labor Consumption,3,100,0,0,0,0,0,0,0,,,,
94000008,3,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
9400002,3,100,0,0,0,0,0,0,0,,,Line Clearance Form,
9000426,3,100,0.05,0.05,0.225,"5,147.75","4,896.65",0,0,milliliter,5.50009509,Streptavidin PMP,
CD Labor Consumption,4,100,0,0,0,0,0,0,0,,,,
94000088,4,100,0,0,0,0,0,0,0,,,SA Biotin Binding Capacity,
94000087,4,100,0,0,0,0,0,0,0,,,PMP Concentration Determination,
94000051,4,100,0,0,0,0,0,0,0,,,Bulk Testing,
40000063,4,100,0,0,0,0,0,0,0,,,TPSA Titration Data Template,
11000198,4,100,1,1,0.225,0,0,0,0,milligram,,Streptavidin,
11000194,4,100,0.2,0.2,0.045,13,13,0,0,milliliter,19,Magnetic Carboxylate (COOH-PMP),
11000193,4,100,0.001,0.001,0.000225,4.498,4.498,0,0,gram,32.08092486,EDC,
9400002,4,100,0,0,0,0,0,0,0,,,Line Clearance Form,
9000425,4,100,0.4,0.4,0.09,428.7,428.7,0,0,milliliter,0.00879403,Glycine Buffer,
CD Labor Consumption,5,100,0,0,0,0,0,0,0,,,,
9400002,5,100,0,0,0,0,0,0,0,,,Line Clearance Form,
11000196,5,100,0.07507,0.07507,0.0067563,605.63,605.0675,0,0,gram,0.10699602,Glycine,
15200013,5,100,0.0005,0.0005,0.000045,"4,730.12","4,722.24",0,0,gram,0.70423372,Sodium Azide,
15200018,5,100,0.001,0.001,0.00009,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,5,100,0.001,0.001,0.00009,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
94000008,5,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
94000039,5,100,0,0,0,0,0,0,0,,,Balance Operation & Maintenance,
94000089,5,100,0,0,0,0,0,0,0,,,"pH Meter Op., Maintenance, Calibration",
9000424,4,100,1.4,1.4,0.315,431.2,431.2,0,0,milliliter,0.10333952,BB (E) with Triton Buffer,
CD Labor Consumption,5,100,0,0,0,0,0,0,0,,,,
9400002,5,100,0,0,0,0,0,0,0,,,Line Clearance Form,
11000083,5,100,0.00208,0.00208,0.0006552,722.9,721.235,0,0,gram,0.27064601,EDTA Tetrasodium 2H2O,
11000084,5,100,0.001,0.001,0.000315,99.22,98.42,0,0,milliliter,0.54101996,Triton X-100,
15200008,5,100,0.03,0.03,0.00945,"6,729.18","6,729.18",0,0,gram,3.23000276,BSA,
15200013,5,100,0.001,0.001,0.000315,"4,730.12","4,722.24",0,0,gram,0.70423372,Sodium Azide,
15200018,5,100,0.01,0.01,0.00315,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,5,100,0.01,0.01,0.00315,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
15200021,5,100,0.00579,0.00579,0.00182385,"13,277.64","13,247.31",0,0,gram,0.17564797,Tris Base,
15200022,5,100,0.00823,0.00823,0.00259245,"12,165.21","12,049.48",0,0,gram,0.24525183,Tris HCl,
94000008,5,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
94000039,5,100,0,0,0,0,0,0,0,,,Balance Operation & Maintenance,
94000089,5,100,0,0,0,0,0,0,0,,,"pH Meter Op., Maintenance, Calibration",
9000423,4,100,1.295,1.295,0.291375,794.5,794.5,0,0,milliliter,0.04619257,MES-SDS Buffer,
CD Labor Consumption,5,100,0,0,0,0,0,0,0,,,,
9400002,5,100,0,0,0,0,0,0,0,,,Line Clearance Form,
11000195,5,100,0.00976,0.00976,0.00284382,333,325.005,0,0,gram,4.68,MES Free Acid Monohydrate,
11000197,5,100,0.0001,0.0001,0.00002914,225,225,0,0,gram,1.87777778,"SDS (Dodecyl sulfate, Sodium Salt)",
15200018,5,100,0.001,0.001,0.00029138,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,5,100,0.001,0.001,0.00029138,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
94000008,5,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
94000039,5,100,0,0,0,0,0,0,0,,,Balance Operation & Maintenance,
94000089,5,100,0,0,0,0,0,0,0,,,"pH Meter Op., Maintenance, Calibration",
9000291,3,100,1.12,1.12,5.04,282,282,0,0,milliliter,0.10283688,Blocking Buffer (E),
CD Labor Consumption,4,100,0,0,0,0,0,0,0,,,,
9400002,4,100,0,0,0,0,0,0,0,,,Line Clearance Form,
11000083,4,100,0.00208,0.00208,0.0104832,722.9,721.235,0,0,gram,0.27064601,EDTA Tetrasodium 2H2O,
15200008,4,100,0.03,0.03,0.1512,"6,729.18","6,729.18",0,0,gram,3.23000276,BSA,
15200013,4,100,0.001,0.001,0.00504,"4,730.12","4,722.24",0,0,gram,0.70423372,Sodium Azide,
15200018,4,100,0.01,0.01,0.0504,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,4,100,0.01,0.01,0.0504,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
15200021,4,100,0.00579,0.00579,0.0291816,"13,277.64","13,247.31",0,0,gram,0.17564797,Tris Base,
15200022,4,100,0.00823,0.00823,0.0414792,"12,165.21","12,049.48",0,0,gram,0.24525183,Tris HCl,
94000008,4,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
94000039,4,100,0,0,0,0,0,0,0,,,Balance Operation & Maintenance,
94000089,4,100,0,0,0,0,0,0,0,,,"pH Meter Op., Maintenance, Calibration",
9220003,2,100,0.1,0.1,3,"4,653","4,653","3,240",100,milliliter,0.51238986,TPSA Ab Solution,
CD Labor Consumption,3,100,0,0,0,0,0,0,0,,,,
94000051,3,100,0,0,0,0,0,0,0,,,Bulk Testing,
94000008,3,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
40000064,3,100,0,0,0,0,0,0,0,,,TPSA Ab Solution Spreadsheet,
40000063,3,100,0,0,0,0,0,0,0,,,TPSA Titration Data Template,
11000102,3,100,0.005,0.005,0.015,"2,338.49","2,295.56",0,0,milliliter,8.85357743,Inactivated ALP-Liquid,
10200001,3,100,0,0,0,0,0,0,0,,,TPSA Ab Titration,
9400002,3,100,0,0,0,0,0,0,0,,,Line Clearance Form,
9210025,3,100,1,1,3,"1,724.76","1,166.76",0,19.23,milliliter,0.31732531,Antibody Blocking Solution,
CD Labor Consumption,4,100,0,0,0,0,0,0,0,,,,
9400002,4,100,0,0,0,0,0,0,0,,,Line Clearance Form,
11000070,4,100,0.0003,0.0003,0.0009,975.5,974.391831,0,0,milliliter,0.09319323,6N NaOH Solution,
11000089,4,100,0.004,0.004,0.012,994.9,944.42308,0,0,milliliter,0.09739672,1N HCl Solution,
11000112,4,100,0.00017,0.00017,0.00051,29.8335,29.2962309,0,0,milliliter,2.70032011,PMSF Solution,
11000219,4,100,0.2,0.2,0.6,"5,550","5,546.15",0,0,milliliter,0.7437009,"Mouse Serum, Heat Inactivated",
15200013,4,100,0.001,0.001,0.003,"4,730.12","4,722.24",0,0,gram,0.70423372,Sodium Azide,
15200029,4,100,0.7998,0.7998,2.3994,"24,947.29","23,479.89",0,0,milliliter,0.20549972,Alkaline Phosphatase Stabilizer,
94000008,4,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
9210011,3,100,0.0002,0.0002,0.0006,30.908,30.888,0,0,milliliter,235.0346189,"Antibody, PSA Capture, Biotinylated",
CD Labor Consumption,4,100,0,0,0,0,0,0,0,,,,
94000042,4,100,0,0,0,0,0,0,0,,,BCA Protein Assay Kit Procedure,
94000020,4,100,0,0,0,0,0,0,0,,,Concentration of Materials,
94000009,4,100,0,0,0,0,0,0,0,,,Chromatography Column Preparation,
40000063,4,100,0,0,0,0,0,0,0,,,TPSA Titration Data Template,
40000036,4,100,0,0,0,0,0,0,0,,,Protein Kit Concentration Spreadsheet,
40000035,4,100,0,0,0,0,0,0,0,,,PSA Titration Solution Spreadsheet,
40000034,4,100,0,0,0,0,0,0,0,,,Biotin-IgG incorporation ratio-1 Calc,
15200039,4,100,3.33333,3.33333,0.002,0,0,0,0,milligram,,"Total PSA Monoclonal Antibody, Biotinyla",
15200008,4,100,0.0066,0.0066,0.00000396,"6,729.18","6,729.18",0,0,gram,3.23000276,BSA,
11000081,4,100,0.0167,0.0167,0.00001002,75,69.79187,0,500,milliliter,1.02133333,DMF,
11000080,4,100,0.13333,0.13333,0.00008,50,50,0,0,milligram,17.2974,Sulfo-NHS-LC-Biotin,
10200001,4,100,0,0,0,0,0,0,0,,,TPSA Ab Titration,
9400002,4,100,0,0,0,0,0,0,0,,,Line Clearance Form,
9210003,4,100,200,200,0.12,0,0,0,"5,000",milliliter,,Tris Buffer (A),
CD Labor Consumption,5,100,0,0,0,0,0,0,0,,,,
9400002,5,100,0,0,0,0,0,0,0,,,Line Clearance Form,
15200013,5,100,0.001,0.001,0.00012,"4,730.12","4,722.24",0,0,gram,0.70423372,Sodium Azide,
15200018,5,100,0.01,0.01,0.0012,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,5,100,0.01,0.01,0.0012,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
15200021,5,100,0.00291,0.00291,0.0003492,"13,277.64","13,247.31",0,0,gram,0.17564797,Tris Base,
15200022,5,100,0.0123,0.0123,0.001476,"12,165.21","12,049.48",0,0,gram,0.24525183,Tris HCl,
94000008,5,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
94000039,5,100,0,0,0,0,0,0,0,,,Balance Operation & Maintenance,
94000089,5,100,0,0,0,0,0,0,0,,,"pH Meter Op., Maintenance, Calibration",
9210001,4,100,133.33,133.33,0.079998,0,0,0,0,milliliter,,Bicarbonate Buffer (A),
CD Labor Consumption,5,100,0,0,0,0,0,0,0,,,,
9400002,5,100,0,0,0,0,0,0,0,,,Line Clearance Form,
15200018,5,100,0.01,0.01,0.00079998,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,5,100,0.01,0.01,0.00079998,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
15200023,5,100,0.00818,0.00818,0.00065438,328.03,328.03,0,0,gram,0.12950035,Sodium Bicarbonate,
15200024,5,100,0.00028,0.00028,0.0000224,493.07,493.07,0,0,gram,0.10529945,Sodium Carbonate (anhydrous),
94000008,5,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
94000039,5,100,0,0,0,0,0,0,0,,,Balance Operation & Maintenance,
94000089,5,100,0,0,0,0,0,0,0,,,"pH Meter Op., Maintenance, Calibration",
9000204,3,100,0.001,0.001,0.003,48.955,48.055,0,0,milliliter,9.91093862,TPSA Ab-ALP Conjugate,
CD Labor Consumption,4,100,0,0,0,0,0,0,0,,,,
94000083,4,100,0,0,0,0,0,0,0,,,Shimadzu UV-1800 Preventive Maintenance,
94000042,4,100,0,0,0,0,0,0,0,,,BCA Protein Assay Kit Procedure,
94000025,4,100,0,0,0,0,0,0,0,,,Column Preparation for Conjugate Purific,
94000024,4,100,0,0,0,0,0,0,0,,,General Chromatography,
94000020,4,100,0,0,0,0,0,0,0,,,Concentration of Materials,
94000009,4,100,0,0,0,0,0,0,0,,,Chromatography Column Preparation,
92000034,4,100,0,0,0,0,0,0,0,,,Definition of Date of Manufacture,
92000019,4,100,0,0,0,0,0,0,0,,,Company Dress Code,
40000063,4,100,0,0,0,0,0,0,0,,,TPSA Titration Data Template,
40000036,4,100,0,0,0,0,0,0,0,,,Protein Kit Concentration Spreadsheet,
40000035,4,100,0,0,0,0,0,0,0,,,PSA Titration Solution Spreadsheet,
15200042,4,100,0.05,0.05,0.00015,"5,200.21","4,969.79",0,0,gram,0.05507854,"Sucrose, Omni Pur",
15200008,4,100,0.005,0.005,0.000015,"6,729.18","6,729.18",0,0,gram,3.23000276,BSA,
15200007,4,100,0.056,0.056,0.000168,20,20,0,0,milligram,120,Total PSA Monoclonal Antibody for Conjug,
15200006,4,100,0.0111,0.0111,0.0000333,167.46,156.46044,0,0,milligram,24.89919981,Alkaline Phosphatase,
15200003,4,100,0.056,0.056,0.000168,131.81,127.6435,0,0,milligram,12.72005159,Sulfo-LC-SPDP,
11000104,4,100,0.00362,0.00362,0.00001086,114,113.1667,0,0,Each,3.81254386,No-Weigh DTT,
11000081,4,100,0.0111,0.0111,0.0000333,75,69.79187,0,500,milliliter,1.02133333,DMF,
11000072,4,100,0.001,0.001,0.000003,345.53,333.79352,0,0,milliliter,0.48438631,Proclin 300,
10200001,4,100,0,0,0,0,0,0,0,,,TPSA Ab Titration,
9400002,4,100,0,0,0,0,0,0,0,,,Line Clearance Form,
9000203,4,100,46,46,0.138,0,0,0,0,milliliter,,PBS-EDTA Buffer,
CD Labor Consumption,5,100,0,0,0,0,0,0,0,,,,
9400002,5,100,0,0,0,0,0,0,0,,,Line Clearance Form,
11000078,5,100,0.00075,0.00075,0.0001035,465.68,465.68,0,0,gram,0.23599897,EDTA Dibasic,
15200010,5,100,0.00079,0.00079,0.00010902,709.89,707.135,0,0,gram,0.23598022,Sodium Phosphate Monobasic,
15200011,5,100,0.00249,0.00249,0.00034362,"2,334.63","2,334.18",0,0,gram,0.2299979,"Potassium Phosphate Dibasic, Anhydrous",
15200012,5,100,0.00876,0.00876,0.00120888,"3,569.96","3,327.59",0,0,gram,0.08691974,Sodium Chloride,
15200018,5,100,0.01,0.01,0.00138,814.03,665.343486,0,0,milliliter,0.09697431,50% Sodium Hydroxide,
15200019,5,100,0.01,0.01,0.00138,"1,687.48","1,589.54",0,0,milliliter,0.21300401,Hydrochloric Acid,
94000008,5,100,0,0,0,0,0,0,0,,,Qty. Sufficing/Specific Gravity of Liqui,
94000039,5,100,0,0,0,0,0,0,0,,,Balance Operation & Maintenance,
94000089,5,100,0,0,0,0,0,0,0,,,"pH Meter Op., Maintenance, Calibration",
9000172,4,100,28,28,0.084,"8,750","7,083.40",0,0,milliliter,0.004632,10mM Tris Buffer,
CD Labor Consumption,5,100,0,0,0,0,0,0,0,,,,
9400002,5,100,0,0,0,0,0,0,0,,,Line Clearance Form,
15200002,5,100,0.00001,0.00001,0.00000084,71.0463,71.0463,0,0,gram,0.76020848,Zinc Chloride,
15200012,5,100,0.00877,0.00877,0.00073668,"3,569.96","3,327.59",0,0,gram,0.08691974,Sodium Chloride,
